"Book","Author","Date","List 1","List 2","List 3","List 4","List 5","Gender","Nationality/ Ethnicity","Connectivity","",""
"the litigators","John Grisham","2011.0","0.0","0.0","0.0","0.0","93.0","Male","European American","1.0","",""
"the partner","John Grisham","1997.0","0.0","0.0","0.0","0.0","80.0","Male","European American","1.0","",""
"the rainmaker","John Grisham","1995.0","0.0","0.0","0.0","0.0","78.0","Male","European American","1.0","",""
"the runaway jury","John Grisham","1996.0","0.0","0.0","0.0","0.0","79.0","Male","European American","1.0","",""
"the street lawyer","John Grisham","1998.0","0.0","0.0","0.0","0.0","81.0","Male","European American","1.0","",""
"the summons","John Grisham","2002.0","0.0","0.0","0.0","0.0","85.0","Male","European American","1.0","",""
"the testament","John Grisham","1999.0","0.0","0.0","0.0","0.0","82.0","Male","European American","1.0","",""
"the cannibal","John Hawkes","1949.0","0.0","0.0","0.0","49.0","0.0","Male","European American","1.0","",""
"a prayer for owen meany","John Irving","1989.0","0.0","28.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the world according to garp","John Irving","1978.0","0.0","64.0","37.0","0.0","0.0","Male","European American","2.0","",""
"a separate peace","John Knowles","1959.0","0.0","0.0","67.0","0.0","0.0","Male","European American","1.0","",""
"the spy who came in from the cold","John le Carre","1964.0","0.0","0.0","0.0","0.0","48.0","Male","British","1.0","",""
"appointment in samarra","John O'Hara","1934.0","22.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"of mice and men","John Steinbeck","1937.0","0.0","0.0","12.0","0.0","0.0","Male","European American","1.0","",""
"the grapes of wrath","John Steinbeck","1939.0","10.0","22.0","3.0","34.0","24.0","Male","European American","5.0","",""
"rabbit, run","John Updike","1960.0","0.0","0.0","97.0","0.0","0.0","Male","European American","1.0","",""
"heart of darkness","Joseph Conrad","1902.0","67.0","43.0","21.0","28.0","0.0","Male","British","4.0","",""
"lord jim","Joseph Conrad","1900.0","85.0","0.0","86.0","0.0","0.0","Male","British","2.0","",""
"nostromo","Joseph Conrad","1904.0","47.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"the secret agent","Joseph Conrad","1907.0","46.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"catch-22","Joseph Heller","1961.0","7.0","12.0","15.0","29.0","0.0","Male","European American","4.0","",""
"lookout cartridge","Joseph McElroy","1974.0","0.0","0.0","0.0","39.0","0.0","Male","European American","1.0","",""
"the awakening","Kate Chopin","1899.0","0.0","0.0","50.0","0.0","0.0","Female","European American","1.0","",""
"ship of fools","Katherine Anne Porter","1962.0","0.0","0.0","0.0","0.0","46.0","Female","European American","1.0","",""
"forever amber","Kathleen Winsor","1945.0","0.0","0.0","0.0","0.0","30.0","Female","European American","1.0","",""
"in memoriam to identity","Kathy Acker","1990.0","0.0","0.0","0.0","99.0","0.0","Female","European American","1.0","",""
"one flew over the cuckoo's nest","Ken Kesey","1962.0","0.0","90.0","28.0","0.0","0.0","Male","European American","2.0","",""
"sometimes a great notion","Ken Kesey","1964.0","0.0","93.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the wind in the willows","Kenneth Grahame","1908.0","0.0","0.0","90.0","0.0","0.0","Male","British","1.0","",""
"a thousand splendid suns","Khaled Hosseini**","2007.0","0.0","0.0","0.0","0.0","89.0","Male","Afghan American","1.0","",""
"cat's cradle","Kurt Vonnegut","1963.0","0.0","0.0","66.0","0.0","0.0","Male","European American","1.0","",""
"slaughterhouse-five","Kurt Vonnegut","1969.0","18.0","23.0","29.0","54.0","0.0","Male","European American","2.0","",""
"the wonderful wizard of oz","L. Frank Baum","1900.0","0.0","0.0","47.0","0.0","0.0","Male","European American","1.0","",""
"battlefield earth","L. Ron Hubbard","1982.0","0.0","3.0","0.0","0.0","0.0","Male","European American","1.0","",""
"fear","L. Ron Hubbard","1940.0","0.0","10.0","0.0","0.0","0.0","Male","European American","1.0","",""
"mission earth","L. Ron Hubbard","1986.0","0.0","9.0","0.0","0.0","0.0","Male","European American","1.0","",""
"guilty pleasures","Laurell K. Hamilton","1993.0","0.0","82.0","0.0","0.0","0.0","Female","European American","1.0","",""
"the alexandria quartet","Lawrence Durell","1958.0","70.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"exodus","Leon Uris","1959.0","0.0","0.0","0.0","0.0","43.0","Male","European American","1.0","",""
"trinity","Leon Uris","1976.0","0.0","0.0","0.0","0.0","59.0","Male","European American","1.0","",""
"strange fruit","Lillian Smith","1944.0","0.0","0.0","0.0","0.0","29.0","Female","European American","1.0","",""
